ID,PrimaryKey,Plant_sp_count,BareSoilCover,TotalFoliarCover,FH_TotalLitterCover,latitude,longitude,CRS
47,WY_WFO-Terrestrial-AIM-2021_SP-PHMA-345_V12021-09-01,86,21.33333333,57.33333333,20.66666667,43.96220565,-107.5956103,4326
48,WY_WY_NewcastleFieldOffice_2021_GR-099_V12021-09-01,86,10,67.33333333,19.33333333,43.49346201,-104.8005242,4326
49,MTL0600_2020_RIMB-1342019-09-01,85,10,82.66666667,0.66666667,47.55019789,-109.8134523,4326
50,CO_CO-NWD-2020_QA-1231_V12020-09-01,84,1.33333333,87.33333333,8.66666667,39.91362944,-106.2906383,4326
51,WY_CYFO-2021_GRA-290_V12021-09-01,84,1.33333333,84.66666667,9.33333333,44.23418996,-109.141015,4326
52,WY_WY_NewcastleFieldOffice_2021_GR-092_V12021-09-01,84,6,82.66666667,9.33333333,43.44460691,-104.2351356,4326
53,WY_WY_RockSpringsFO_2021_RDI2021-007_V12021-09-01,84,32,50,10.66666667,42.32496848,-108.6790857,4326
54,CO_CO_Kremmling_Field_Office_LUP_2021_KFO2021-017_V12021-09-01,83,9.33333333,67.33333333,19.33333333,40.09553597,-105.8600555,4326
55,WY_BFO_LUP_2022_BFO2022-NR-065_V12023-09-01,83,6,90,2,44.16360797,-105.7491494,4326
56,CON04000_2020_CO-0412019-09-01,82,0.66666667,96,2.66666667,39.36384851,-107.1219098,4326
57,MT_NCMD_LUP_2022_BPB-293_V12023-09-01,82,2.66666667,94.66666667,2,47.8791589,-109.4651837,4326
58,MT_NCMD_LUP_2022_MAC-608_V12023-09-01,82,15.33333333,72,11.33333333,47.67844438,-109.8855599,4326
59,WY_BFO_LUP_2022_BFO2022-022_V12023-09-01,82,9.33333333,68,8.66666667,43.65395718,-106.2679363,4326
60,WY_CYFO-2021_CON-236_V12021-09-01,82,2.66666667,41.33333333,10,44.93328158,-108.1441294,4326
61,WY_WY_NewcastleFieldOffice_2021_SH-222_V12021-09-01,82,20.66666667,48.66666667,19.33333333,44.88556128,-104.6372395,4326
